name,country,lat,lon,population,aquifer_context_class,sy_low,sy_mid,sy_high,class_basis,dP_sy_low,dP_sy_mid,dP_sy_high,material_at_sy_low,material_at_sy_mid,material_at_sy_high,sy_material_threshold_0p03_0p25,direction,class_prior_use
Dalian,CN,38.91222,121.60222,4913879,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.005906769422451871,0.002405679715297024,0.001434049264707582,False,False,False,0.030295677389739612,increase,review-prior only; replace with local hydrogeology before engineering use
Budta,PH,7.20417,124.43972,1273715,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.005795198365935728,0.002408026906784544,0.0014436714419849839,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Mombasa,KE,-4.05466,39.66359,1208333,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.003518905011992729,0.0017536785717879588,0.0011210243900097172,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Chennai,IN,13.08784,80.27847,4681087,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0033568824765033978,0.0016749823123079488,0.0010711906837373997,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Cartagena,CO,10.39817,-75.49328,914552,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0033543021753679736,0.001669478532355495,0.0010667019944099465,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Virār,IN,19.45591,72.81136,1222390,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0025991780956606536,0.0025991780956606536,0.0025991780956606536,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Mandalay,MM,21.97473,96.08359,1208099,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0032312015958621543,0.0016130387633941923,0.001031753251427736,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Ziyang,CN,30.12108,104.64811,905729,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.005165031796652342,0.0021293650525350816,0.0012737442358992102,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Santo Domingo,DO,18.47186,-69.89232,2201941,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.004964568247891987,0.0020632280509746415,0.001237017127413087,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Baoshan,CN,31.40845,121.48956,2265900,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.003090099660093132,0.0015372199026121303,0.0009820216039180263,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Barranquilla,CO,10.96854,-74.78132,1206319,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.003012445804461805,0.001498973070527071,0.0009576765938668352,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Cebu City,PH,10.31672,123.89071,965332,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.002276329626615059,0.002276329626615059,0.002276329626615059,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Surabaya,ID,-7.24917,112.75083,2874314,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.002760921548778328,0.0013796290028784686,0.0008827698777079118,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Seoul,KR,37.566,126.9784,10349312,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0027464076527744657,0.0013662065445439048,0.0008727648461152315,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Weinan,CN,34.50355,109.50891,1199290,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0025122927807350315,0.00125212059502669,0.0008004307861357585,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Alexandria,EG,31.20176,29.91582,5263542,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0024489129402572585,0.0012221890328520946,0.0007816783629459312,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Sapporo,JP,43.06667,141.35,1973832,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.003525010037273027,0.0016096915500116021,0.0009635883521716265,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Nantong,CN,32.03028,120.87472,2273326,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0038487747224912605,0.001596117201128816,0.0009563792110281466,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Auckland,NZ,-36.84853,174.76349,1547200,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.003847402990678414,0.0015876660930259356,0.0009499719052186439,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Xianyang,CN,34.33778,108.70261,1034081,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0023478851969878922,0.0011700452336714517,0.0007479323494766488,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Hamamatsu,JP,34.7,137.73333,791707,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0018496808038376833,0.0016254816282758044,0.0009748707647686539,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Karachi,PK,24.8608,67.0104,11624219,alluvial/basin-fill depletion,0.08,0.14,0.22,alluvial or basin-fill depletion setting; moderate-to-high review range,0.0022662208168490183,0.0012913708825948722,0.0008206684581423263,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Shanghai,CN,31.22222,121.45806,24874500,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0017738693845824882,0.0017738693845824882,0.0016090260642873944,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Tainan,TW,22.99083,120.21333,1856642,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.003221624899557074,0.001342309669644437,0.0008053785735066543,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Kitakyushu,JP,33.85181,130.85034,940978,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0019178033808634753,0.0013297066405357216,0.0007965129464252985,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Lanzhou,CN,36.05701,103.83987,3000000,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.001967216060813237,0.0009796520837403039,0.0006260681721129979,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Hiroshima,JP,34.4,132.45,1200754,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0031298109110149963,0.0013032667153586308,0.000781818020660352,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Davao,PH,7.07306,125.61278,1848947,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0019005197829629061,0.0009503916691263603,0.0006082806731939616,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Neijiang,CN,29.58354,105.06216,1251095,stiff/deep low-sensitivity control,0.03,0.06,0.1,"control class for stiff, deep-water or far-from-water settings; not used to expand claims",0.004976045603720586,0.0024316293221790172,0.00144569378958425,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Santiago de los Caballeros,DO,19.45036,-70.69085,1200000,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0017533058197912732,0.000875133393442612,0.0005597353732242905,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Port-au-Prince,HT,18.54349,-72.33881,1234742,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.002769915859332145,0.0011504744462914052,0.0006896580149016174,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Hyderabad,PK,25.39689,68.37718,1921275,alluvial/basin-fill depletion,0.08,0.14,0.22,alluvial or basin-fill depletion setting; moderate-to-high review range,0.0016674854819343707,0.0009477644577044267,0.000601561108545895,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Nay Pyi Taw,MM,19.745,96.12972,925000,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.002270889799828396,0.0011075032886209285,0.000663207122552939,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Zhengzhou,CN,34.75778,113.64861,4253913,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0015282868465959602,0.0010519684030921225,0.0006261016665059446,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Anyang,CN,36.096,114.38278,1146839,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0022811255178191055,0.0010046476498419797,0.0005937607013474198,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Fukuoka,JP,33.6,130.41667,1612392,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0011292210388418322,0.0011292210388418322,0.0011292210388418322,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Panzhihua,CN,26.58509,101.71276,787177,stiff/deep low-sensitivity control,0.03,0.06,0.1,"control class for stiff, deep-water or far-from-water settings; not used to expand claims",0.0037977440854302102,0.0018818253798576628,0.0011250293667992156,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Quezon City,PH,14.6488,121.0509,3084270,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0020880458013805697,0.0008655130066856503,0.0005185377478629793,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Bandar Lampung,ID,-5.42917,105.26111,1166066,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0020649380236175963,0.0008574005495608494,0.0005139284933652344,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Yangjiang,CN,21.85563,111.96272,1292987,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0012454038109009358,0.0006224657836545466,0.00039832360831426605,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Chongqing,CN,29.56026,106.55771,7457599,stiff/deep low-sensitivity control,0.03,0.06,0.1,"control class for stiff, deep-water or far-from-water settings; not used to expand claims",0.0033376376403254915,0.0016446744044747372,0.0009810779997386776,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Jakarta,ID,-6.21462,106.84513,8540121,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0019269886984436546,0.0008000566950419341,0.00047954539331612756,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Pasig City,PH,14.58691,121.0614,853050,stiff/deep low-sensitivity control,0.03,0.06,0.1,"control class for stiff, deep-water or far-from-water settings; not used to expand claims",0.0031755563308963064,0.0015757250036065457,0.0009425574639516793,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Goyang-si,KR,37.65639,126.835,1061752,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0009003048747226322,0.0009003048747226322,0.0006489773478028926,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Tianshui,CN,34.57952,105.74238,1212791,stiff/deep low-sensitivity control,0.03,0.06,0.1,"control class for stiff, deep-water or far-from-water settings; not used to expand claims",0.0021414497149772754,0.0015020891577163797,0.0008961976667930874,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Haiphong,VN,20.86481,106.68345,2625200,stiff/deep low-sensitivity control,0.03,0.06,0.1,"control class for stiff, deep-water or far-from-water settings; not used to expand claims",0.00295771045463622,0.0014648546269222934,0.000875576889456664,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Changwon,KR,35.22806,128.68111,1025702,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0017494136030489216,0.0007244052968884696,0.00043387214584894584,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Kaohsiung,TW,22.61626,120.31333,2737660,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.000984466547940599,0.0004922832716239833,0.00031507276400311035,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Vadodara,IN,22.29941,73.20812,1822221,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0015929081084562237,0.0006432993340855023,0.00038256952830699985,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Langfang,CN,39.52079,116.71471,868066,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0015577798492616007,0.0006425065421948387,0.00038438672164717996,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Hanoi,VN,21.0245,105.84117,8053663,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0009577968102840728,0.00047869826386554015,0.0003063207404163104,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Caloocan,PH,14.64953,120.96788,1712945,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0007599218058339519,0.0007599218058339519,0.0007599218058339519,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Dongying,CN,37.46271,118.49165,998968,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.0007503506881893704,0.0007503506881893704,0.000664920678368125,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Incheon,KR,37.45646,126.70515,3015482,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.00151530718961701,0.0006241267804562925,0.00037324421961657667,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
